
6.A.	SYSTEMS, EQUIPMENT AND COMPONENTS
6.D.3.f.2.	"Software" specially designed for magnetic and electric field anomaly detection on mobile platforms;
6.D.3.f.3.	"Software" specially designed for "real-time processing" of electromagnetic data using underwater electromagnetic receivers specified by 6.A.6.e.;
6.D.3.f.4.	"Source code" for "real-time processing" of electromagnetic data using underwater electromagnetic receivers specified by 6.A.6.e;

6.D.3.g.	GRAVIMETERS

6.D.3.g.	"Software" specially designed to correct motional influences of gravity meters or gravity gradiometers;

6.D.3.h.	RADAR

6.D.3.h.	"Software" as follows:
6.D.3.h.1.	Air Traffic Control (ATC) "software" application "programs" designed to be hosted on general purpose computers located at Air Traffic Control centres and capable of accepting radar target data from more than four primary radars;
6.D.3.h.2.	"Software" for the design or "production" of radomes having all of the following:
6.D.3.h.2.a.	Specially designed to protect the electronically scanned array antennae specified by 6.A.8.e.; and
6.D.3.h.2.b.	Resulting in an antenna pattern having an 'average side lobe level' more than 40 dB below the peak of the main beam level.

6.D.3.h.2.b.Technical Note.	'Average side lobe level' in 6.D.3.h.2.b. is measured over the entire array excluding the angular extent of the main beam and the first two side lobes on either side of the main beam.

6.E.	TECHNOLOGY

6.E.1.	"Technology" according to the General Technology Note for the "development" of equipment, materials or "software" specified by 6.A., 6.B., 6.C. or 6.D.

6.E.2.	"Technology" according to the General Technology Note for the "production" of equipment or materials specified by 6.A., 6.B. or 6.C.

6.E.3.	Other "technology" as follows:

6.E.3.a.	ACOUSTICS – None

6.E.3.b.	OPTICAL SENSORS – None

6.E.3.c.	CAMERAS – None

6.E.3.d.	OPTICS

6.E.3.d.	"Technology" as follows:
6.E.3.d.1.	"Technology" "required" for the coating and treatment of optical surfaces to achieve an 'optical thickness' uniformity of 99.5% or better for optical coatings 500 mm or more in diameter or major axis length and with a total loss (absorption and scatter) of less than 5 x 10-3;
6.E.3.d.1.N.B.	See also 2.E.3.f.

6.E.3.d.1.Technical Note.	'Optical thickness' is the mathematical product of the index of refraction and the physical thickness of the coating.
6.E.3.d.2.	"Technology" for the fabrication of optics using single point diamond turning techniques to produce surface finish "accuracies" of better than 10 nm rms on non-planar surfaces exceeding 0.5 m2;


6.E.3.e.	LASERS

6.E.3.e.	"Technology" "required" for the "development", "production" or "use" of specially designed diagnostic instruments or targets in test facilities for "SHPL" testing or testing or evaluation of materials irradiated by "SHPL" beams;

6.E.3.f.	MAGNETIC AND ELECTRIC FIELD SENSORS  - Not used since 2004;

6.E.3.g.	GRAVIMETERS – None

6.E.3.h.	RADAR – None
